gene/TE	../../STAR_v252_mapping/CGND_12856/HRA-00020-2_PE.bam
"A1BG"	28
"A1BG-AS1"	84
"A1CF"	0
"A2M"	2339
"A2M-AS1"	80
"A2ML1"	81
"A2MP1"	5
"A3GALT2"	4
"A4GALT"	9
"A4GNT"	2
"AA06"	30
"AAAS"	208
"AACS"	632
"AACSP1"	11
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	266
"AAED1"	59
"AAGAB"	710
"AAK1"	7612
"AAMDC"	47
"AAMP"	598
"AANAT"	1
"AAR2"	182
"AARD"	3
"AARS"	3488
"AARS2"	257
"AARSD1"	129
"AASDH"	458
"AASDHPPT"	2024
"AASS"	814
"AATBC"	3
"AATF"	376
"AATK"	2803
"ABALON"	1
"ABAT"	3860
"ABCA1"	670
"ABCA10"	513
"ABCA11P"	263
"ABCA12"	6
"ABCA13"	3
"ABCA17P"	52
"ABCA2"	10747
"ABCA3"	1828
"ABCA4"	10
"ABCA5"	2549
"ABCA6"	759
"ABCA7"	91
"ABCA8"	2587
"ABCA9"	361
"ABCA9-AS1"	0
"ABCB1"	491
"ABCB10"	324
"ABCB11"	4
"ABCB4"	7
"ABCB5"	0
"ABCB6"	219
"ABCB7"	365
"ABCB8"	237
"ABCB9"	213
"ABCC1"	277
"ABCC10"	148
"ABCC11"	14
"ABCC12"	40
"ABCC13"	1
"ABCC2"	16
"ABCC3"	4
"ABCC4"	278
"ABCC5"	1400
"ABCC5-AS1"	0
"ABCC6"	2
"ABCC6P1"	7
"ABCC6P2"	0
"ABCC8"	394
"ABCC9"	799
"ABCD1"	40
"ABCD2"	638
"ABCD3"	1123
"ABCD4"	257
"ABCE1"	1281
"ABCF1"	570
"ABCF2"	732
"ABCF3"	582
"ABCG1"	490
"ABCG2"	488
"ABCG4"	172
"ABCG5"	13
"ABCG8"	36
"ABHD1"	5
"ABHD10"	659
"ABHD11"	63
"ABHD11-AS1"	0
"ABHD12"	881
"ABHD12B"	108
"ABHD13"	802
"ABHD14A"	153
"ABHD14A-ACY1"	86
"ABHD14B"	79
"ABHD15"	57
"ABHD16A"	291
"ABHD16B"	0
"ABHD17A"	914
"ABHD17B"	1159
"ABHD17C"	248
"ABHD18"	359
"ABHD2"	3139
"ABHD3"	88
"ABHD4"	173
"ABHD5"	537
"ABHD6"	464
"ABHD8"	542
"ABI1"	1453
"ABI2"	5932
"ABI3"	46
"ABI3BP"	162
"ABL1"	1076
"ABL2"	1903
"ABLIM1"	3465
"ABLIM2"	936
"ABLIM3"	515
"ABO"	8
"ABR"	5912
"ABRA"	4
"ABRACL"	86
"ABRAXAS1"	67
"ABRAXAS2"	414
"ABT1"	105
"ABTB1"	354
"ABTB2"	139
"ACAA1"	419
"ACAA2"	310
"ACACA"	3546
"ACACB"	651
"ACAD10"	212
"ACAD11"	411
"ACAD8"	254
"ACAD9"	426
"ACADL"	36
"ACADM"	795
"ACADS"	73
"ACADSB"	1139
"ACADVL"	727
"ACAN"	28
"ACAP1"	1
"ACAP2"	1577
"ACAP3"	979
"ACAT1"	470
"ACAT2"	354
"ACBD3"	815
"ACBD3-AS1"	1
"ACBD4"	122
"ACBD5"	1535
"ACBD6"	265
"ACBD7"	937
"ACBD7-DCLRE1CP1"	59
"ACCS"	64
"ACCSL"	0
"ACD"	117
"ACE"	67
"ACE2"	9
"ACER1"	2
"ACER2"	118
"ACER3"	1567
"ACHE"	147
"ACIN1"	1280
"ACKR1"	67
"ACKR2"	13
"ACKR3"	71
"ACKR4"	2
"ACLY"	1436
"ACMSD"	0
"ACO1"	500
"ACO2"	2926
"ACOD1"	0
"ACOT1"	13
"ACOT11"	250
"ACOT12"	11
"ACOT13"	266
"ACOT2"	136
"ACOT4"	46
"ACOT6"	0
"ACOT7"	834
"ACOT8"	184
"ACOT9"	269
"ACOX1"	1509
"ACOX2"	18
"ACOX3"	335
"ACOXL"	0
"ACOXL-AS1"	8
"ACP1"	745
"ACP2"	266
"ACP4"	1
"ACP5"	8
"ACP6"	127
"ACP7"	50
"ACPP"	11
"ACR"	3
"ACRBP"	6
"ACRV1"	12
"ACSBG1"	602
"ACSBG2"	0
"ACSF2"	69
"ACSF3"	113
"ACSL1"	1432
"ACSL3"	4816
"ACSL4"	2235
"ACSL5"	105
"ACSL6"	2997
"ACSM1"	3
"ACSM2A"	1
"ACSM2B"	0
"ACSM3"	1
"ACSM4"	0
"ACSM5"	20
"ACSM6"	0
"ACSS1"	848
"ACSS2"	518
"ACSS3"	424
"ACTA1"	6
"ACTA2"	44
"ACTA2-AS1"	142
"ACTB"	18331
"ACTBL2"	0
"ACTC1"	6
"ACTG1"	8344
"ACTG1P17"	11
"ACTG1P20"	29
"ACTG1P4"	109
"ACTG2"	0
"ACTL10"	2
"ACTL6A"	86
"ACTL6B"	250
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	0
"ACTL9"	0
"ACTN1"	1241
"ACTN1-AS1"	1
"ACTN2"	1178
"ACTN3"	0
"ACTN4"	1957
"ACTR10"	769
"ACTR1A"	1986
"ACTR1B"	806
"ACTR2"	5974
"ACTR3"	1894
"ACTR3B"	586
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	130
"ACTR5"	130
"ACTR6"	498
"ACTR8"	582
"ACTRT1"	0
"ACTRT2"	0
"ACTRT3"	26
"ACVR1"	264
"ACVR1B"	968
"ACVR1C"	608
"ACVR2A"	876
"ACVR2B"	958
"ACVR2B-AS1"	18
"ACVRL1"	73
"ACY1"	20
"ACY3"	1
"ACYP1"	119
"ACYP2"	303
"ADA"	54
"ADA2"	145
"ADAD1"	0
"ADAD2"	4
"ADAL"	229
"ADAM10"	2286
"ADAM11"	744
"ADAM12"	76
"ADAM15"	375
"ADAM17"	598
"ADAM18"	0
"ADAM19"	297
"ADAM1A"	91
"ADAM2"	0
"ADAM20"	158
"ADAM20P1"	181
"ADAM21"	6
"ADAM21P1"	1
"ADAM22"	5507
"ADAM23"	2554
"ADAM28"	246
"ADAM29"	3
"ADAM30"	0
"ADAM32"	196
"ADAM33"	13
"ADAM3A"	0
"ADAM3B"	8
"ADAM5"	3
"ADAM6"	0
"ADAM7"	0
"ADAM8"	16
"ADAM9"	1272
"ADAMDEC1"	0
"ADAMTS1"	695
"ADAMTS10"	142
"ADAMTS12"	3
"ADAMTS13"	84
"ADAMTS14"	125
"ADAMTS15"	10
"ADAMTS16"	57
"ADAMTS17"	96
"ADAMTS18"	6
"ADAMTS19"	203
"ADAMTS19-AS1"	10
"ADAMTS2"	51
