gene/TE	../../STAR_v252_mapping/CGND_12675/HRA-00209_PE.bam
"A1BG"	30
"A1BG-AS1"	63
"A1CF"	0
"A2M"	1024
"A2M-AS1"	34
"A2ML1"	56
"A2MP1"	1
"A3GALT2"	0
"A4GALT"	9
"A4GNT"	0
"AA06"	12
"AAAS"	108
"AACS"	647
"AACSP1"	2
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	179
"AAED1"	34
"AAGAB"	760
"AAK1"	5904
"AAMDC"	38
"AAMP"	564
"AANAT"	2
"AAR2"	114
"AARD"	14
"AARS"	2788
"AARS2"	246
"AARSD1"	100
"AASDH"	245
"AASDHPPT"	1727
"AASS"	234
"AATBC"	0
"AATF"	236
"AATK"	1292
"ABALON"	1
"ABAT"	3907
"ABCA1"	349
"ABCA10"	323
"ABCA11P"	234
"ABCA12"	8
"ABCA13"	1
"ABCA17P"	33
"ABCA2"	3246
"ABCA3"	1816
"ABCA4"	9
"ABCA5"	1364
"ABCA6"	217
"ABCA7"	94
"ABCA8"	268
"ABCA9"	259
"ABCA9-AS1"	0
"ABCB1"	345
"ABCB10"	215
"ABCB11"	3
"ABCB4"	6
"ABCB5"	1
"ABCB6"	214
"ABCB7"	218
"ABCB8"	225
"ABCB9"	243
"ABCC1"	252
"ABCC10"	112
"ABCC11"	3
"ABCC12"	50
"ABCC13"	1
"ABCC2"	3
"ABCC3"	3
"ABCC4"	182
"ABCC5"	1021
"ABCC5-AS1"	0
"ABCC6"	1
"ABCC6P1"	0
"ABCC6P2"	1
"ABCC8"	415
"ABCC9"	324
"ABCD1"	30
"ABCD2"	641
"ABCD3"	699
"ABCD4"	114
"ABCE1"	858
"ABCF1"	426
"ABCF2"	689
"ABCF3"	494
"ABCG1"	313
"ABCG2"	281
"ABCG4"	219
"ABCG5"	4
"ABCG8"	23
"ABHD1"	3
"ABHD10"	534
"ABHD11"	66
"ABHD11-AS1"	0
"ABHD12"	870
"ABHD12B"	62
"ABHD13"	481
"ABHD14A"	176
"ABHD14A-ACY1"	88
"ABHD14B"	41
"ABHD15"	42
"ABHD16A"	338
"ABHD16B"	0
"ABHD17A"	676
"ABHD17B"	418
"ABHD17C"	217
"ABHD18"	204
"ABHD2"	3483
"ABHD3"	53
"ABHD4"	85
"ABHD5"	284
"ABHD6"	330
"ABHD8"	720
"ABI1"	1163
"ABI2"	5493
"ABI3"	9
"ABI3BP"	82
"ABL1"	451
"ABL2"	1227
"ABLIM1"	2972
"ABLIM2"	1037
"ABLIM3"	526
"ABO"	2
"ABR"	6129
"ABRA"	6
"ABRACL"	77
"ABRAXAS1"	37
"ABRAXAS2"	345
"ABT1"	110
"ABTB1"	354
"ABTB2"	53
"ACAA1"	312
"ACAA2"	216
"ACACA"	2372
"ACACB"	257
"ACAD10"	112
"ACAD11"	155
"ACAD8"	215
"ACAD9"	274
"ACADL"	30
"ACADM"	457
"ACADS"	48
"ACADSB"	871
"ACADVL"	590
"ACAN"	30
"ACAP1"	3
"ACAP2"	895
"ACAP3"	871
"ACAT1"	470
"ACAT2"	392
"ACBD3"	478
"ACBD3-AS1"	0
"ACBD4"	88
"ACBD5"	1000
"ACBD6"	200
"ACBD7"	1062
"ACBD7-DCLRE1CP1"	70
"ACCS"	46
"ACCSL"	0
"ACD"	96
"ACE"	70
"ACE2"	2
"ACER1"	0
"ACER2"	68
"ACER3"	646
"ACHE"	251
"ACIN1"	680
"ACKR1"	104
"ACKR2"	7
"ACKR3"	62
"ACKR4"	2
"ACLY"	1432
"ACMSD"	0
"ACO1"	313
"ACO2"	2551
"ACOD1"	0
"ACOT1"	13
"ACOT11"	103
"ACOT12"	4
"ACOT13"	194
"ACOT2"	140
"ACOT4"	44
"ACOT6"	2
"ACOT7"	1063
"ACOT8"	198
"ACOT9"	250
"ACOX1"	1335
"ACOX2"	20
"ACOX3"	189
"ACOXL"	0
"ACOXL-AS1"	6
"ACP1"	735
"ACP2"	284
"ACP4"	0
"ACP5"	5
"ACP6"	63
"ACP7"	6
"ACPP"	0
"ACR"	3
"ACRBP"	3
"ACRV1"	9
"ACSBG1"	506
"ACSBG2"	2
"ACSF2"	37
"ACSF3"	100
"ACSL1"	521
"ACSL3"	3819
"ACSL4"	1827
"ACSL5"	76
"ACSL6"	3156
"ACSM1"	1
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	3
"ACSM4"	0
"ACSM5"	15
"ACSM6"	0
"ACSS1"	428
"ACSS2"	209
"ACSS3"	211
"ACTA1"	11
"ACTA2"	32
"ACTA2-AS1"	81
"ACTB"	14759
"ACTBL2"	0
"ACTC1"	21
"ACTG1"	8614
"ACTG1P17"	10
"ACTG1P20"	6
"ACTG1P4"	43
"ACTG2"	5
"ACTL10"	1
"ACTL6A"	44
"ACTL6B"	294
"ACTL7A"	0
"ACTL7B"	0
"ACTL8"	0
"ACTL9"	0
"ACTN1"	1302
"ACTN1-AS1"	0
"ACTN2"	777
"ACTN3"	1
"ACTN4"	1514
"ACTR10"	953
"ACTR1A"	1683
"ACTR1B"	927
"ACTR2"	5056
"ACTR3"	1398
"ACTR3B"	727
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	112
