gene/TE	../../STAR_v252_mapping/CGND_12893/HRA-00335-b38_PE.bam
"A1BG"	40
"A1BG-AS1"	105
"A1CF"	0
"A2M"	1729
"A2M-AS1"	70
"A2ML1"	139
"A2MP1"	2
"A3GALT2"	1
"A4GALT"	36
"A4GNT"	0
"AA06"	31
"AAAS"	190
"AACS"	1014
"AACSP1"	24
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	312
"AAED1"	75
"AAGAB"	877
"AAK1"	9406
"AAMDC"	61
"AAMP"	1005
"AANAT"	2
"AAR2"	250
"AARD"	10
"AARS"	5236
"AARS2"	477
"AARSD1"	156
"AASDH"	738
"AASDHPPT"	2014
"AASS"	732
"AATBC"	1
"AATF"	420
"AATK"	3119
"ABALON"	4
"ABAT"	6248
"ABCA1"	748
"ABCA10"	780
"ABCA11P"	336
"ABCA12"	15
"ABCA13"	8
"ABCA17P"	104
"ABCA2"	7447
"ABCA3"	3058
"ABCA4"	38
"ABCA5"	2886
"ABCA6"	535
"ABCA7"	240
"ABCA8"	861
"ABCA9"	425
"ABCA9-AS1"	1
"ABCB1"	214
"ABCB10"	276
"ABCB11"	2
"ABCB4"	14
"ABCB5"	0
"ABCB6"	340
"ABCB7"	397
"ABCB8"	452
"ABCB9"	482
"ABCC1"	424
"ABCC10"	219
"ABCC11"	18
"ABCC12"	34
"ABCC13"	1
"ABCC2"	16
"ABCC3"	17
"ABCC4"	315
"ABCC5"	2227
"ABCC5-AS1"	0
"ABCC6"	13
"ABCC6P1"	5
"ABCC6P2"	1
"ABCC8"	768
"ABCC9"	764
"ABCD1"	62
"ABCD2"	798
"ABCD3"	931
"ABCD4"	409
"ABCE1"	1029
"ABCF1"	617
"ABCF2"	1001
"ABCF3"	816
"ABCG1"	640
"ABCG2"	195
"ABCG4"	434
"ABCG5"	5
"ABCG8"	41
"ABHD1"	14
"ABHD10"	641
"ABHD11"	119
"ABHD11-AS1"	0
"ABHD12"	1396
"ABHD12B"	110
"ABHD13"	685
"ABHD14A"	263
"ABHD14A-ACY1"	161
"ABHD14B"	107
"ABHD15"	97
"ABHD16A"	425
"ABHD16B"	0
"ABHD17A"	1585
"ABHD17B"	647
"ABHD17C"	318
"ABHD18"	435
"ABHD2"	5191
"ABHD3"	124
"ABHD4"	256
"ABHD5"	487
"ABHD6"	598
"ABHD8"	1145
"ABI1"	1862
"ABI2"	6595
"ABI3"	45
"ABI3BP"	129
"ABL1"	963
"ABL2"	2206
"ABLIM1"	5927
"ABLIM2"	1708
"ABLIM3"	711
"ABO"	11
"ABR"	9521
"ABRA"	3
"ABRACL"	80
"ABRAXAS1"	47
"ABRAXAS2"	483
"ABT1"	177
"ABTB1"	553
"ABTB2"	186
"ACAA1"	602
"ACAA2"	548
"ACACA"	4836
"ACACB"	635
"ACAD10"	284
"ACAD11"	480
"ACAD8"	383
"ACAD9"	527
"ACADL"	65
"ACADM"	818
"ACADS"	164
"ACADSB"	1344
"ACADVL"	1367
"ACAN"	103
"ACAP1"	3
"ACAP2"	1478
"ACAP3"	1462
"ACAT1"	585
"ACAT2"	590
"ACBD3"	780
"ACBD3-AS1"	0
"ACBD4"	207
"ACBD5"	1433
"ACBD6"	255
"ACBD7"	1926
"ACBD7-DCLRE1CP1"	124
"ACCS"	83
"ACCSL"	3
"ACD"	167
"ACE"	117
"ACE2"	2
"ACER1"	0
"ACER2"	146
"ACER3"	954
"ACHE"	327
"ACIN1"	1355
"ACKR1"	137
"ACKR2"	21
"ACKR3"	136
"ACKR4"	0
"ACLY"	2092
"ACMSD"	0
"ACO1"	814
"ACO2"	5041
"ACOD1"	1
"ACOT1"	65
"ACOT11"	310
"ACOT12"	2
"ACOT13"	405
"ACOT2"	277
"ACOT4"	64
"ACOT6"	3
"ACOT7"	1632
"ACOT8"	228
"ACOT9"	472
"ACOX1"	2362
"ACOX2"	35
"ACOX3"	450
"ACOXL"	0
"ACOXL-AS1"	14
"ACP1"	963
"ACP2"	322
"ACP4"	0
"ACP5"	5
"ACP6"	137
"ACP7"	21
"ACPP"	5
"ACR"	10
"ACRBP"	5
"ACRV1"	22
"ACSBG1"	1196
"ACSBG2"	1
"ACSF2"	107
"ACSF3"	233
"ACSL1"	1506
"ACSL3"	4739
"ACSL4"	1718
"ACSL5"	139
"ACSL6"	4450
"ACSM1"	17
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	0
"ACSM4"	0
"ACSM5"	35
"ACSM6"	0
"ACSS1"	1513
"ACSS2"	494
"ACSS3"	722
"ACTA1"	13
"ACTA2"	36
"ACTA2-AS1"	175
"ACTB"	25715
"ACTBL2"	0
"ACTC1"	20
"ACTG1"	14159
"ACTG1P17"	7
"ACTG1P20"	38
"ACTG1P4"	131
"ACTG2"	0
"ACTL10"	1
"ACTL6A"	88
"ACTL6B"	417
"ACTL7A"	0
"ACTL7B"	1
"ACTL8"	1
"ACTL9"	0
"ACTN1"	1929
"ACTN1-AS1"	0
"ACTN2"	960
"ACTN3"	3
"ACTN4"	2502
"ACTR10"	1008
"ACTR1A"	2687
"ACTR1B"	1484
"ACTR2"	5871
"ACTR3"	1642
"ACTR3B"	826
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	193
"ACTR5"	199
"ACTR6"	540
"ACTR8"	651
"ACTRT1"	3
"ACTRT2"	0
"ACTRT3"	48
"ACVR1"	288
"ACVR1B"	1488
"ACVR1C"	640
"ACVR2A"	658
"ACVR2B"	988
"ACVR2B-AS1"	35
"ACVRL1"	105
"ACY1"	43
"ACY3"	2
"ACYP1"	199
"ACYP2"	389
"ADA"	59
"ADA2"	200
"ADAD1"	0
"ADAD2"	16
"ADAL"	348
"ADAM10"	1724
"ADAM11"	1209
"ADAM12"	61
"ADAM15"	408
"ADAM17"	809
"ADAM18"	0
"ADAM19"	424
"ADAM1A"	137
"ADAM2"	0
"ADAM20"	233
"ADAM20P1"	218
"ADAM21"	5
"ADAM21P1"	0
"ADAM22"	6420
"ADAM23"	4549
"ADAM28"	347
"ADAM29"	6
"ADAM30"	0
"ADAM32"	314
"ADAM33"	27
"ADAM3A"	0
"ADAM3B"	4
"ADAM5"	6
"ADAM6"	0
"ADAM7"	0
"ADAM8"	34
"ADAM9"	1439
"ADAMDEC1"	0
"ADAMTS1"	394
"ADAMTS10"	298
"ADAMTS12"	7
"ADAMTS13"	172
"ADAMTS14"	109
"ADAMTS15"	6
"ADAMTS16"	43
"ADAMTS17"	181
"ADAMTS18"	48
"ADAMTS19"	229
"ADAMTS19-AS1"	20
"ADAMTS2"	78
"ADAMTS20"	32
"ADAMTS3"	253
"ADAMTS4"	383
"ADAMTS5"	35
"ADAMTS6"	94
"ADAMTS7"	15
"ADAMTS7P1"	55
"ADAMTS8"	206
"ADAMTS9"	527
"ADAMTS9-AS1"	5
"ADAMTS9-AS2"	123
"ADAMTSL1"	123
"ADAMTSL2"	286
"ADAMTSL3"	195
"ADAMTSL4"	23
"ADAMTSL4-AS1"	26
"ADAMTSL5"	14
"ADAP1"	1416
"ADAP2"	49
"ADAR"	7311
"ADARB1"	1407
"ADARB2"	674
"ADARB2-AS1"	3
"ADAT1"	614
"ADAT2"	118
"ADAT3"	34
"ADCK1"	116
"ADCK2"	419
"ADCK5"	65
"ADCY1"	11415
"ADCY10"	88
"ADCY10P1"	222
"ADCY2"	3535
"ADCY3"	1235
"ADCY4"	27
"ADCY5"	1695
"ADCY6"	638
"ADCY7"	186
"ADCY8"	533
"ADCY9"	1266
"ADCYAP1"	189
