gene/TE	../../BAM/CGND_13096/HRA-01222_PE.bam
"A1BG"	42
"A1BG-AS1"	175
"A1CF"	0
"A2M"	2684
"A2M-AS1"	83
"A2ML1"	105
"A2MP1"	2
"A3GALT2"	3
"A4GALT"	15
"A4GNT"	0
"AA06"	38
"AAAS"	229
"AACS"	1656
"AACSP1"	13
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	2
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	349
"AAED1"	70
"AAGAB"	1079
"AAK1"	10869
"AAMDC"	40
"AAMP"	1205
"AANAT"	6
"AAR2"	275
"AARD"	20
"AARS"	6113
"AARS2"	545
"AARSD1"	170
"AASDH"	477
"AASDHPPT"	2529
"AASS"	365
"AATBC"	3
"AATF"	483
"AATK"	3193
"ABALON"	3
"ABAT"	7368
"ABCA1"	730
"ABCA10"	592
"ABCA11P"	319
"ABCA12"	5
"ABCA13"	2
"ABCA17P"	82
"ABCA2"	8348
"ABCA3"	4311
"ABCA4"	26
"ABCA5"	2312
"ABCA6"	451
"ABCA7"	243
"ABCA8"	539
"ABCA9"	463
"ABCA9-AS1"	1
"ABCB1"	378
"ABCB10"	369
"ABCB11"	3
"ABCB4"	11
"ABCB5"	0
"ABCB6"	475
"ABCB7"	329
"ABCB8"	600
"ABCB9"	566
"ABCC1"	565
"ABCC10"	398
"ABCC11"	30
"ABCC12"	163
"ABCC13"	2
"ABCC2"	12
"ABCC3"	14
"ABCC4"	242
"ABCC5"	2403
"ABCC5-AS1"	1
"ABCC6"	11
"ABCC6P1"	15
"ABCC6P2"	1
"ABCC8"	1032
"ABCC9"	328
"ABCD1"	77
"ABCD2"	951
"ABCD3"	1012
"ABCD4"	301
"ABCE1"	1219
"ABCF1"	962
"ABCF2"	1198
"ABCF3"	1008
"ABCG1"	615
"ABCG2"	867
"ABCG4"	527
"ABCG5"	15
"ABCG8"	38
"ABHD1"	5
"ABHD10"	789
"ABHD11"	138
"ABHD11-AS1"	0
"ABHD12"	1733
"ABHD12B"	145
"ABHD13"	753
"ABHD14A"	357
"ABHD14A-ACY1"	187
"ABHD14B"	98
"ABHD15"	61
"ABHD16A"	639
"ABHD16B"	0
"ABHD17A"	1646
"ABHD17B"	634
"ABHD17C"	354
"ABHD18"	333
"ABHD2"	6194
"ABHD3"	125
"ABHD4"	164
"ABHD5"	420
"ABHD6"	704
"ABHD8"	1708
"ABI1"	1773
"ABI2"	9521
"ABI3"	17
"ABI3BP"	74
"ABL1"	1102
"ABL2"	2072
"ABLIM1"	5806
"ABLIM2"	2436
"ABLIM3"	1131
"ABO"	14
"ABR"	13816
"ABRA"	9
"ABRACL"	139
"ABRAXAS1"	65
"ABRAXAS2"	529
"ABT1"	177
"ABTB1"	899
"ABTB2"	168
"ACAA1"	622
"ACAA2"	283
"ACACA"	5258
"ACACB"	611
"ACAD10"	287
"ACAD11"	286
"ACAD8"	494
"ACAD9"	669
"ACADL"	67
"ACADM"	832
"ACADS"	93
"ACADSB"	1454
"ACADVL"	1313
"ACAN"	53
"ACAP1"	7
"ACAP2"	1437
"ACAP3"	2119
"ACAT1"	620
"ACAT2"	677
"ACBD3"	884
"ACBD3-AS1"	0
"ACBD4"	206
"ACBD5"	1597
"ACBD6"	295
"ACBD7"	1356
"ACBD7-DCLRE1CP1"	92
"ACCS"	103
"ACCSL"	1
"ACD"	224
"ACE"	243
"ACE2"	11
"ACER1"	1
"ACER2"	174
"ACER3"	1186
"ACHE"	580
"ACIN1"	1786
"ACKR1"	195
"ACKR2"	20
"ACKR3"	73
"ACKR4"	3
"ACLY"	2953
"ACMSD"	0
"ACO1"	594
"ACO2"	5182
"ACOD1"	0
"ACOT1"	132
"ACOT11"	341
"ACOT12"	2
"ACOT13"	377
"ACOT2"	273
"ACOT4"	49
"ACOT6"	4
"ACOT7"	2376
"ACOT8"	361
"ACOT9"	471
"ACOX1"	2047
"ACOX2"	41
"ACOX3"	546
"ACOXL"	0
"ACOXL-AS1"	9
"ACP1"	1145
"ACP2"	575
"ACP4"	0
"ACP5"	2
"ACP6"	125
"ACP7"	25
"ACPP"	2
"ACR"	5
"ACRBP"	8
"ACRV1"	21
"ACSBG1"	789
"ACSBG2"	2
"ACSF2"	76
"ACSF3"	257
"ACSL1"	659
"ACSL3"	5832
"ACSL4"	2685
"ACSL5"	62
"ACSL6"	5673
"ACSM1"	2
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	2
"ACSM4"	0
"ACSM5"	31
"ACSM6"	0
"ACSS1"	887
"ACSS2"	498
"ACSS3"	251
"ACTA1"	10
"ACTA2"	65
"ACTA2-AS1"	256
"ACTB"	29472
"ACTBL2"	0
"ACTC1"	42
"ACTG1"	15726
"ACTG1P17"	6
"ACTG1P20"	25
"ACTG1P4"	81
"ACTG2"	2
"ACTL10"	5
"ACTL6A"	66
"ACTL6B"	623
"ACTL7A"	0
"ACTL7B"	1
"ACTL8"	0
"ACTL9"	0
"ACTN1"	2858
"ACTN1-AS1"	1
"ACTN2"	1531
"ACTN3"	2
"ACTN4"	3051
"ACTR10"	1424
"ACTR1A"	3449
"ACTR1B"	1926
"ACTR2"	7060
"ACTR3"	2153
"ACTR3B"	1283
"ACTR3BP2"	0
"ACTR3BP5"	0
"ACTR3C"	217
"ACTR5"	168
"ACTR6"	618
"ACTR8"	814
"ACTRT1"	1
"ACTRT2"	0
"ACTRT3"	38
"ACVR1"	405
"ACVR1B"	1845
"ACVR1C"	810
"ACVR2A"	946
"ACVR2B"	961
"ACVR2B-AS1"	23
"ACVRL1"	50
"ACY1"	34
"ACY3"	31
"ACYP1"	184
"ACYP2"	475
"ADA"	47
"ADA2"	177
"ADAD1"	0
"ADAD2"	6
"ADAL"	302
"ADAM10"	1782
"ADAM11"	1969
"ADAM12"	61
"ADAM15"	419
"ADAM17"	630
"ADAM18"	1
"ADAM19"	503
"ADAM1A"	118
"ADAM2"	0
"ADAM20"	161
"ADAM20P1"	138
"ADAM21"	15
"ADAM21P1"	0
"ADAM22"	7571
"ADAM23"	4306
"ADAM28"	126
"ADAM29"	13
"ADAM30"	0
"ADAM32"	191
"ADAM33"	42
"ADAM3A"	0
"ADAM3B"	3
"ADAM5"	2
"ADAM6"	0
"ADAM7"	0
"ADAM8"	31
"ADAM9"	1127
"ADAMDEC1"	0
"ADAMTS1"	374
"ADAMTS10"	412
"ADAMTS12"	8
"ADAMTS13"	202
"ADAMTS14"	47
"ADAMTS15"	38
"ADAMTS16"	88
"ADAMTS17"	207
"ADAMTS18"	16
"ADAMTS19"	323
"ADAMTS19-AS1"	14
"ADAMTS2"	122
"ADAMTS20"	10
"ADAMTS3"	394
"ADAMTS4"	227
"ADAMTS5"	110
"ADAMTS6"	80
"ADAMTS7"	34
"ADAMTS7P1"	46
"ADAMTS8"	577
"ADAMTS9"	129
"ADAMTS9-AS1"	49
"ADAMTS9-AS2"	98
"ADAMTSL1"	93
"ADAMTSL2"	339
"ADAMTSL3"	165
"ADAMTSL4"	5
"ADAMTSL4-AS1"	23
"ADAMTSL5"	14
"ADAP1"	1866
"ADAP2"	98
"ADAR"	7938
"ADARB1"	2021
"ADARB2"	1204
"ADARB2-AS1"	21
"ADAT1"	673
"ADAT2"	134
"ADAT3"	40
"ADCK1"	200
"ADCK2"	579
"ADCK5"	116
"ADCY1"	15207
"ADCY10"	34
"ADCY10P1"	139
"ADCY2"	4985
"ADCY3"	1429
"ADCY4"	29
"ADCY5"	2203
"ADCY6"	926
"ADCY7"	437
"ADCY8"	593
"ADCY9"	1273
"ADCYAP1"	511
"ADCYAP1R1"	3885
"ADD1"	7830
"ADD2"	6375
"ADD3"	4064
"ADD3-AS1"	32
"ADGB"	4
"ADGRA1"	1261
"ADGRA1-AS1"	35
"ADGRA2"	286
"ADGRA3"	694
"ADGRB1"	3656
"ADGRB2"	6628
"ADGRB3"	6309
"ADGRD1"	37
"ADGRD1-AS1"	0
"ADGRE1"	0
"ADGRE2"	9
"ADGRE3"	1
"ADGRE4P"	5
"ADGRE5"	58
"ADGRF1"	0
"ADGRF2"	5
"ADGRF3"	24
"ADGRF4"	2
"ADGRF5"	932
"ADGRG1"	1945
"ADGRG2"	5
"ADGRG3"	2
"ADGRG4"	0
"ADGRG5"	8
"ADGRG6"	66
"ADGRG7"	0
"ADGRL1"	8392
"ADGRL2"	2910
"ADGRL3"	5733
"ADGRL3-AS1"	0
"ADGRL4"	79
"ADGRV1"	6004
"ADH1A"	0
"ADH1B"	1
"ADH1C"	0
"ADH4"	0
"ADH5"	1385
"ADH6"	0
"ADH7"	0
"ADHFE1"	268
"ADI1"	377
"ADIG"	1
"ADIPOQ"	1
"ADIPOQ-AS1"	0
"ADIPOR1"	1171
"ADIPOR2"	1055
"ADIRF"	128
"ADK"	386
"ADM"	29
"ADM2"	2
"ADM5"	19
"ADNP"	2617
"ADNP-AS1"	12
"ADNP2"	752
"ADO"	1282
"ADORA1"	1232
"ADORA2A"	32
"ADORA2A-AS1"	3
"ADORA2B"	93
"ADORA3"	31
"ADPGK"	439
"ADPGK-AS1"	11
"ADPRH"	32
"ADPRHL1"	179
"ADPRHL2"	230
"ADPRM"	123
"ADRA1A"	726
"ADRA1B"	512
"ADRA1D"	345
"ADRA2A"	317
"ADRA2B"	2
"ADRA2C"	98
"ADRB1"	484
"ADRB2"	52
"ADRB3"	10
"ADRM1"	608
"ADSL"	319
"ADSS"	1310
"ADSSL1"	61
"ADTRP"	78
"AEBP1"	464
"AEBP2"	1112
"AEN"	98
"AES"	6579
"AFAP1"	1477
"AFAP1-AS1"	18
"AFAP1L1"	110
"AFAP1L2"	729
"AFDN"	2780
"AFDN-DT"	14
"AFF1"	1293
"AFF1-AS1"	48
"AFF2"	1299
"AFF3"	2571
"AFF4"	4960
"AFG1L"	351
"AFG3L1P"	185
"AFG3L2"	1500
"AFM"	0
"AFMID"	207
"AFP"	4
"AFTPH"	1896
"AGA"	159
"AGAP1"	6196
"AGAP1-IT1"	19
"AGAP11"	45
"AGAP12P"	59
"AGAP2"	10135
"AGAP2-AS1"	6
"AGAP3"	3566
"AGAP4"	235
"AGAP5"	78
"AGAP6"	226
"AGAP7P"	59
"AGAP9"	118
"AGBL1"	30
"AGBL1-AS1"	2
"AGBL2"	7
"AGBL3"	112
"AGBL4"	365
"AGBL4-IT1"	77
"AGBL5"	307
"AGBL5-AS1"	3
"AGER"	16
"AGFG1"	2705
"AGFG2"	455
"AGGF1"	1642
"AGK"	919
"AGL"	1446
"AGMAT"	102
"AGMO"	6
"AGO1"	1905
"AGO2"	2914
"AGO3"	667
"AGO4"	906
"AGPAT1"	1800
"AGPAT2"	140
"AGPAT3"	3824
"AGPAT4"	1510
"AGPAT4-IT1"	64
"AGPAT5"	1041
"AGPS"	1457
"AGR2"	0
"AGR3"	1
"AGRN"	2205
"AGRP"	4
"AGT"	1594
"AGTPBP1"	3590
"AGTR1"	1
"AGTR2"	0
"AGTRAP"	40
"AGXT"	0
"AGXT2"	1
"AHCTF1"	2321
"AHCTF1P1"	4
"AHCY"	819
"AHCYL1"	5424
"AHCYL2"	2231
"AHDC1"	2208
"AHI1"	2712
"AHNAK"	7950
"AHNAK2"	5135
"AHR"	541
"AHRR"	211
"AHSA1"	1395
"AHSA2P"	455
"AHSG"	5
"AHSP"	1
"AICDA"	0
"AIDA"	1076
"AIF1"	71
"AIF1L"	897
"AIFM1"	376
"AIFM2"	155
"AIFM3"	890
"AIG1"	720
"AIM2"	5
"AIMP1"	375
"AIMP2"	152
"AIP"	368
"AIPL1"	2
"AIRE"	13
"AIRN"	12
"AJAP1"	1298
"AJM1"	1311
"AJUBA"	19
"AK1"	673
"AK2"	710
"AK3"	813
"AK4"	2317
"AK5"	8392
"AK6"	298
"AK7"	60
"AK8"	33
"AK9"	582
"AKAIN1"	29
"AKAP1"	1009
"AKAP10"	1381
"AKAP11"	15776
"AKAP12"	9484
"AKAP13"	1973
"AKAP14"	3
"AKAP17A"	196
"AKAP2"	804
"AKAP3"	29
"AKAP4"	0
"AKAP5"	2308
"AKAP6"	11979
"AKAP7"	517
"AKAP8"	447
"AKAP8L"	880
"AKAP9"	5468
"AKIP1"	201
"AKIRIN1"	1537
"AKIRIN2"	1072
"AKNA"	403
"AKNAD1"	5
"AKR1A1"	442
"AKR1B1"	1058
"AKR1B10"	0
"AKR1B15"	0
"AKR1C1"	159
"AKR1C2"	73
"AKR1C3"	58
"AKR1C4"	0
"AKR1C6P"	0
"AKR1C8P"	4
"AKR1D1"	0
"AKR1E2"	113
"AKR7A2"	484
"AKR7A2P1"	2
"AKR7A3"	37
"AKR7L"	28
"AKT1"	1244
"AKT1S1"	472
"AKT2"	794
"AKT3"	10590
"AKTIP"	1339
"ALAD"	1212
"ALAS1"	823
"ALAS2"	7
"ALB"	4
"ALCAM"	2316
"ALDH16A1"	130
"ALDH18A1"	521
"ALDH1A1"	555
"ALDH1A2"	64
"ALDH1A3"	266
"ALDH1B1"	260
"ALDH1L1"	609
"ALDH1L1-AS1"	1
"ALDH1L1-AS2"	34
"ALDH1L2"	329
"ALDH2"	2753
"ALDH3A1"	3
"ALDH3A2"	1359
"ALDH3B1"	21
"ALDH3B2"	0
"ALDH4A1"	653
"ALDH5A1"	2674
"ALDH6A1"	2880
"ALDH7A1"	1122
"ALDH8A1"	91
"ALDH9A1"	942
"ALDOA"	17712
"ALDOB"	2
"ALDOC"	8943
"ALG1"	212
"ALG10"	164
"ALG10B"	448
"ALG11"	344
"ALG12"	195
"ALG13"	732
"ALG14"	115
"ALG1L"	17
"ALG1L2"	0
"ALG1L9P"	153
"ALG2"	384
"ALG3"	133
"ALG5"	172
"ALG6"	177
"ALG8"	232
"ALG9"	730
"ALK"	295
"ALKAL1"	4
"ALKAL2"	11
"ALKBH1"	194
"ALKBH2"	84
"ALKBH3"	294
"ALKBH3-AS1"	0
"ALKBH4"	239
"ALKBH5"	2380
"ALKBH6"	271
"ALKBH7"	203
"ALKBH8"	388
"ALLC"	1
"ALMS1"	2889
"ALMS1-IT1"	39
"ALMS1P1"	44
"ALOX12"	0
"ALOX12-AS1"	71
"ALOX12B"	24
