,Gene,Coefficient
0,A1BG,7.775183687801214e-05
1,A1BG-AS1,-0.0007562521462738582
2,A1CF,-0.001814928891603029
3,A2M,0.0005782931372687844
4,A2M-AS1,-0.00393361911710431
5,A2ML1,0.001914140691646582
6,A2MP1,-0.0011272981980268233
7,A3GALT2,0.012450773111548692
8,A4GALT,0.002312797208657896
9,A4GNT,0.0003381679879569524
10,AA06,0.0031557927194239186
11,AAAS,-0.0008167549287179135
12,AACS,-0.002751266602860412
13,AACSP1,0.0011039537907173806
14,AADAC,0.0003469445418397123
15,AADACL2,-1.833466013018293e-05
16,AADACL2-AS1,-0.0020876927775369683
17,AADACL3,-0.0008182280947153347
18,AADACL4,-0.0011953834519805465
19,AADACP1,0.006437262339490272
20,AADAT,-0.0012024153103389248
21,AAED1,0.0028133708228096545
22,AAGAB,0.0001470866634521011
23,AAK1,-0.0014592468296127392
24,AAMDC,0.0009201524413767698
25,AAMP,-0.00047246115845568995
26,AANAT,0.0017688941978364454
27,AAR2,0.0006657976890463609
28,AARD,0.0041618321866866035
29,AARS,-0.0008877504868266434
30,AARS2,0.0011094871127886449
31,AARSD1,5.6115932932525816e-05
32,AASDH,0.00042504822640642586
33,AASDHPPT,0.0006156853295707974
34,AASS,0.0009681244299317733
35,AATBC,0.0011824687415210777
36,AATF,-0.0018222706578215847
37,AATK,-0.0016707899829065908
38,ABALON,0.0017258547963272578
39,ABAT,-0.0020427832247918907
40,ABCA1,-0.0008471000058423386
41,ABCA10,0.0010523172208820582
42,ABCA11P,0.0013068167817968106
43,ABCA12,-0.0002595745489568169
44,ABCA13,0.0004480137601632555
45,ABCA17P,-0.002578143989930111
46,ABCA2,-0.0013457200776390227
47,ABCA3,-0.001105738859818648
48,ABCA4,-0.0004933045339212854
49,ABCA5,0.0007288634804408056
50,ABCA6,0.0010892796517448402
51,ABCA7,-0.0024324700443918066
52,ABCA8,-0.0008558825442629361
53,ABCA9,0.00020237701374243306
54,ABCA9-AS1,0.008173811750962198
55,ABCB1,0.0014545015391429473
56,ABCB10,-0.00048342803504433033
57,ABCB11,-0.001677124144120382
58,ABCB4,0.003726357585031634
59,ABCB5,-0.0022870662424083923
60,ABCB6,-0.002100757530943359
61,ABCB7,-0.000536032236018876
62,ABCB8,0.0015304440210740333
63,ABCB9,-0.0009580802566237003
64,ABCC1,0.0004862804936981303
65,ABCC10,0.0005874938784317825
66,ABCC11,0.0026565830462497797
67,ABCC12,0.0035100007844384726
68,ABCC13,-0.0028561283770944437
69,ABCC2,-0.0008897530045795067
70,ABCC3,-0.0015172307563672102
71,ABCC4,0.001442107887217805
72,ABCC5,0.0008764464891439107
73,ABCC5-AS1,-0.00448962779748814
74,ABCC6,-0.000613889222642202
75,ABCC6P1,-0.0013075553681396086
76,ABCC6P2,0.007338406098601026
77,ABCC8,0.002402650415975602
78,ABCC9,-0.002791440486815487
79,ABCD1,0.0009635541492253837
80,ABCD2,-0.0001244771866140114
81,ABCD3,-0.0007567416707552554
82,ABCD4,3.200367451608734e-05
83,ABCE1,-0.00011536817234758691
84,ABCF1,-9.324268237627926e-05
85,ABCF2,-0.0013585264657493094
86,ABCF3,-0.0015567112819502194
87,ABCG1,-0.0014203886991769844
88,ABCG2,0.0062289002313553115
89,ABCG4,-0.0019984887279177973
90,ABCG5,-0.006262425990142942
91,ABCG8,-0.002265738022535666
92,ABHD1,0.004900020466286747
93,ABHD10,-0.001185112634966518
94,ABHD11,-0.0013363657695839495
95,ABHD11-AS1,-0.00547633341637453
96,ABHD12,-0.0005116359144990193
97,ABHD12B,0.002009917205256808
98,ABHD13,-0.0001880516725070802
99,ABHD14A,0.00014917818575832883
100,ABHD14A-ACY1,0.00019229713532308186
101,ABHD14B,0.0008952391489277177
102,ABHD15,-0.002240168281780217
103,ABHD16A,0.0008492885318320472
104,ABHD16B,-0.0034106614460877737
105,ABHD17A,-0.00048789238383962265
106,ABHD17B,-0.0012505967650577477
107,ABHD17C,-0.00013655568786936185
108,ABHD18,0.0011434241820242222
109,ABHD2,0.0007372860854358995
110,ABHD3,-0.0008629563600864856
111,ABHD4,0.0005660592149727134
112,ABHD5,-0.0011095270189054344
113,ABHD6,-0.0019867558344291375
114,ABHD8,-0.0010126327862815107
115,ABI1,0.0009848420092516052
116,ABI2,0.0011066596244792442
117,ABI3,0.0010056458540392578
118,ABI3BP,-0.00030178605604533245
119,ABL1,0.000144808530787261
120,ABL2,-0.0011894777627563559
121,ABLIM1,-0.0008844398627899126
122,ABLIM2,0.00016278109274956207
123,ABLIM3,0.0013560421509878251
124,ABO,0.006612767032058115
125,ABR,-0.0006389211358405319
126,ABRA,-0.00034624144995752074
127,ABRACL,-0.002317549348786931
128,ABRAXAS1,-0.00027299895691348805
129,ABRAXAS2,0.00010852921773061758
130,ABT1,-0.00015892968502626242
131,ABTB1,0.0004663279394952296
132,ABTB2,0.002486319697942487
133,ACAA1,0.0018790002316865443
134,ACAA2,0.00032184731120749103
135,ACACA,-0.0010758986871520406
136,ACACB,0.0011771592091176057
137,ACAD10,-0.0004797577239977501
138,ACAD11,0.00031716629942035057
139,ACAD8,-0.0001904530173240019
140,ACAD9,-0.0014718431076619163
141,ACADL,-0.00143103075941972
142,ACADM,0.00020064725750729726
143,ACADS,0.0007036734657837405
144,ACADSB,-0.0001062949617125657
145,ACADVL,0.0007345104526932289
146,ACAN,0.00031725196399512244
147,ACAP1,0.0009436252280972854
148,ACAP2,0.001567018830291059
149,ACAP3,0.0009334146679632029
150,ACAT1,-0.0012190436784901566
151,ACAT2,-0.001455060140345923
152,ACBD3,0.0005023510138318706
153,ACBD3-AS1,-0.0023709867618061688
154,ACBD4,-0.0016824535714315544
155,ACBD5,-0.0010395542081856053
156,ACBD6,0.0002192037943087012
157,ACBD7,1.5422154548756607e-05
158,ACBD7-DCLRE1CP1,0.0006008083691670828
159,ACCS,0.0013845313811634546
160,ACCSL,0.004314702869399482
161,ACD,-0.0006465844198910748
162,ACE,-0.0018664266055762758
163,ACE2,-0.0005052295472309098
164,ACER1,0.0001349817471947178
165,ACER2,-0.00132812897542049
166,ACER3,-0.00011758657857606604
167,ACHE,7.55419141387361e-05
168,ACIN1,-0.00036979862315648763
169,ACKR1,-0.0034128580388162193
170,ACKR2,-0.0006302005688031327
171,ACKR3,0.001999573192568559
172,ACKR4,0.0013292327615627684
173,ACLY,-0.0014297537694186596
174,ACMSD,-0.006631827821745364
175,ACO1,-0.0006450832913283053
176,ACO2,-0.0020452783329079583
177,ACOD1,-0.0029146846617381303
178,ACOT1,0.003208715309416608
179,ACOT11,0.0014110305848262954
180,ACOT12,0.006285884669299396
181,ACOT13,-0.003276533526433644
182,ACOT2,-0.0010732260417403118
183,ACOT4,0.0009128223080441793
184,ACOT6,6.631903602786044e-05
185,ACOT7,-6.420897901475446e-05
186,ACOT8,0.00034439263349062156
187,ACOT9,-0.002344913187203154
188,ACOX1,-0.0005280567974281989
189,ACOX2,0.0036911141333738342
190,ACOX3,0.00017493210118935213
191,ACOXL,-0.0034155054071807237
192,ACOXL-AS1,0.0011351838586877562
193,ACP1,1.4833129046761716e-05
194,ACP2,-0.0011644052403339488
195,ACP4,-0.0014144064661064683
196,ACP5,-0.001992880913812634
197,ACP6,-0.0002358538367730296
198,ACP7,-0.0011068679963382928
199,ACPP,0.000644150539281531
200,ACR,-0.0014835212305609681
201,ACRBP,-0.00047859917778921116
202,ACRV1,0.006185261862624289
203,ACSBG1,0.0012267202636140804
204,ACSBG2,0.00286748870894
205,ACSF2,-0.001847197673061699
206,ACSF3,-0.0003360432245039578
207,ACSL1,-0.00026700083085081944
208,ACSL3,-0.0005918448457506849
209,ACSL4,-0.0007648068384243526
210,ACSL5,0.0011109679260496465
211,ACSL6,-0.0008731215832217052
212,ACSM1,-0.002483588007237746
213,ACSM2A,0.0001584606326888953
214,ACSM2B,0.0005102004350085353
215,ACSM3,1.791732491174288e-05
216,ACSM4,-0.0028210534993482915
217,ACSM5,0.004231670643685797
218,ACSM6,0.0008874346773723925
219,ACSS1,0.001360979936376275
220,ACSS2,-0.0016670502676049326
221,ACSS3,0.00019722277262298717
222,ACTA1,0.0035176900841041125
223,ACTA2,-0.0006402706055614452
224,ACTA2-AS1,0.0011921785179628598
225,ACTB,-0.00028346597834183875
226,ACTBL2,-0.0017920187687181146
227,ACTC1,-0.0005632361947780783
228,ACTG1,-3.872092281633069e-06
229,ACTG1P17,-0.002679137551293496
230,ACTG1P20,0.002598160566877034
231,ACTG1P4,0.0026702748433748884
232,ACTG2,-0.002477535768417759
233,ACTL10,0.0003793523268878208
234,ACTL6A,0.0006972775074353653
235,ACTL6B,-0.00022136628920229131
236,ACTL7A,0.0
237,ACTL7B,-0.00379997779112082
238,ACTL8,0.002049161991203906
239,ACTL9,0.0
240,ACTN1,-0.0005044530816705874
241,ACTN1-AS1,-0.00949999429843118
242,ACTN2,0.000883313399135924
243,ACTN3,0.0031942598212116057
244,ACTN4,0.00023997991872126467
245,ACTR10,0.0014261657597622126
246,ACTR1A,-0.0008393614905948402
247,ACTR1B,-0.00044026916927486666
248,ACTR2,-0.0012486649269782045
249,ACTR3,-9.367272783131305e-05
250,ACTR3B,0.0006188236858913718
251,ACTR3BP2,0.0
252,ACTR3BP5,0.0
253,ACTR3C,0.0011779949170386728
254,ACTR5,-0.0006089169611950505
255,ACTR6,-0.0011204061388911495
256,ACTR8,-0.0014716387625122937
257,ACTRT1,0.004005003371191808
258,ACTRT2,-0.00167780050860372
259,ACTRT3,-0.0015614775342825396
260,ACVR1,0.0018960090072043902
261,ACVR1B,-0.0019580391064761282
262,ACVR1C,0.0016122202251705718
263,ACVR2A,0.001004528163281491
264,ACVR2B,-0.00047611011134466094
265,ACVR2B-AS1,0.004039774940080305
266,ACVRL1,-0.003427191679846269
267,ACY1,0.0034428818010101827
268,ACY3,0.002856739588852794
269,ACYP1,-0.003720250032592246
270,ACYP2,0.0007577244275860022
271,ADA,-0.0010650995486197433
272,ADA2,0.0030035304638064684
273,ADAD1,-0.0006832775470789738
274,ADAD2,-9.124210339529694e-05
275,ADAL,-0.002278074170922158
276,ADAM10,3.894717389398504e-05
277,ADAM11,-0.0005572552089218512
278,ADAM12,-0.003574050229046266
279,ADAM15,0.0005221636696983603
280,ADAM17,0.000584176477393188
281,ADAM18,-0.0001795083631927569
282,ADAM19,0.0016341639781791329
283,ADAM1A,0.003590500576232892
284,ADAM2,-0.0014508623737753523
285,ADAM20,-0.0032221344329872396
286,ADAM20P1,-0.0030684442360663015
287,ADAM21,-0.0011593490352627602
288,ADAM21P1,0.0014678624444019682
289,ADAM22,-0.0007660149226931213
290,ADAM23,-0.0007308355235651463
291,ADAM28,0.003388200095932925
292,ADAM29,4.133660947435748e-06
293,ADAM30,0.0028968941829900824
294,ADAM32,-0.004156600188458759
295,ADAM33,0.00259572396239738
296,ADAM3A,-0.0022362398312637385
297,ADAM3B,-0.0007660632767950042
298,ADAM5,-0.0011662627653016202
299,ADAM6,0.0
300,ADAM7,0.0073081429671642
301,ADAM8,0.006531737751894863
302,ADAM9,-0.0006473316815695652
303,ADAMDEC1,0.0013463417916562128
304,ADAMTS1,0.002242215540912511
305,ADAMTS10,0.002840083159212144
306,ADAMTS12,0.0001353039768209185
307,ADAMTS13,0.001080771277352705
308,ADAMTS14,4.169578126033015e-06
309,ADAMTS15,-0.000943449141258753
310,ADAMTS16,-0.004042567432816946
311,ADAMTS17,0.0006040580402804822
312,ADAMTS18,-0.0025683168973636076
313,ADAMTS19,0.00022522952014305902
314,ADAMTS19-AS1,0.0017804758157362272
315,ADAMTS2,-0.0023898058088382113
316,ADAMTS20,0.005266300180243624
317,ADAMTS3,0.00192867244567335
318,ADAMTS4,0.0003190627209373563
319,ADAMTS5,0.0001475499998314418
320,ADAMTS6,-7.160389353959309e-05
321,ADAMTS7,0.003019390206251604
322,ADAMTS7P1,0.0032846747622090632
323,ADAMTS8,-0.0006554755113618005
324,ADAMTS9,0.0008874322304265794
325,ADAMTS9-AS1,0.0015923014090820267
326,ADAMTS9-AS2,0.0011794578942063104
327,ADAMTSL1,0.0012568027743436309
328,ADAMTSL2,0.0003518528321604015
329,ADAMTSL3,0.0008183223431847602
330,ADAMTSL4,0.0023710069951418805
331,ADAMTSL4-AS1,0.00031444006028743594
332,ADAMTSL5,-0.0020781835282109385
333,ADAP1,-0.0010940648241207981
334,ADAP2,-0.00032570784747100077
335,ADAR,-0.0011863905763768656
336,ADARB1,-0.0006052689218662752
337,ADARB2,-0.0005701499538998696
338,ADARB2-AS1,0.012872032842513452
339,ADAT1,0.0005964520643571869
340,ADAT2,3.1985129656873616e-06
341,ADAT3,0.0014383323341522198
342,ADCK1,0.0022843059007507725
343,ADCK2,-0.002037210299536405
344,ADCK5,-0.0004577133045455869
345,ADCY1,-0.0017165741809244102
346,ADCY10,-0.0008132610960367681
347,ADCY10P1,-6.0881403204680095e-05
348,ADCY2,-0.000679168151956467
349,ADCY3,-0.002633654896795388
350,ADCY4,7.213300489858704e-05
351,ADCY5,-0.0023712993891681
352,ADCY6,-0.0008517624230247769
353,ADCY7,-4.7137547907441605e-05
354,ADCY8,-0.0037467835540023926
355,ADCY9,9.026072499880428e-05
356,ADCYAP1,0.002554408817958113
357,ADCYAP1R1,0.00015177677849750084
358,ADD1,-0.0009024505059450249
359,ADD2,-0.0016881249461373538
360,ADD3,-0.0013343871954952715
361,ADD3-AS1,0.004236572390802893
362,ADGB,-0.0002690766341059707
363,ADGRA1,-0.0013684957675394653
364,ADGRA1-AS1,0.000116769842765911
365,ADGRA2,-0.0003358567417982128
366,ADGRA3,0.0003565473201380921
367,ADGRB1,0.0021605456893634242
368,ADGRB2,4.0652993361572405e-05
369,ADGRB3,0.0006348607640290016
370,ADGRD1,-0.001430479446612286
371,ADGRD1-AS1,0.010779639679475104
372,ADGRE1,0.006439895423084074
373,ADGRE2,0.0021352530156148533
374,ADGRE3,-0.0030430992945196084
375,ADGRE4P,0.0018975358387057337
376,ADGRE5,-0.0017230386149553153
377,ADGRF1,-0.00019607442755341007
378,ADGRF2,-0.0029959166381076565
379,ADGRF3,-0.0023725551056373124
380,ADGRF4,-0.0007636498148834107
381,ADGRF5,-8.814674550311114e-05
382,ADGRG1,0.0014237932589548996
383,ADGRG2,0.0007572559468564104
384,ADGRG3,0.0007468769925542537
385,ADGRG4,0.0061536308240450295
386,ADGRG5,0.0025957409316330225
387,ADGRG6,0.0003540297399587416
388,ADGRG7,0.0010802819605475959
389,ADGRL1,-0.0006366316175544283
390,ADGRL2,-0.0003295770627874295
391,ADGRL3,0.0003024539403847644
392,ADGRL3-AS1,-0.008027429781914267
393,ADGRL4,0.0026585453721930485
394,ADGRV1,0.005487555689470371
395,ADH1A,-0.0004943461548060828
396,ADH1B,-0.0019114341704345246
397,ADH1C,0.0013123491547865004
398,ADH4,0.0036166905668218495
399,ADH5,-0.0006609590455138973
400,ADH6,-0.0005411307470617481
401,ADH7,-0.0001334639270130951
402,ADHFE1,-0.0010625985515108109
403,ADI1,-0.0013417489980454013
404,ADIG,0.003877852783582388
405,ADIPOQ,0.001378518798780786
406,ADIPOQ-AS1,0.006515888111754277
407,ADIPOR1,0.0003072997667768468
408,ADIPOR2,-0.0019994052019306143
409,ADIRF,0.0019552561147665394
410,ADK,-0.0010697180114414328
411,ADM,-0.0022800734581864004
412,ADM2,-0.0006372904475752128
413,ADM5,0.002246329683438164
414,ADNP,-0.0003211846024395213
415,ADNP-AS1,0.0003910082534114782
416,ADNP2,-1.9527916840771317e-05
417,ADO,0.0005305697380552127
418,ADORA1,-0.0015577085807383486
419,ADORA2A,-8.19030755684637e-05
420,ADORA2A-AS1,-0.006431760586639891
421,ADORA2B,0.003465781797814023
422,ADORA3,-0.0022970842542717235
423,ADPGK,0.00030655796388885605
424,ADPGK-AS1,-0.00859640616510133
425,ADPRH,-0.0014832479274160565
426,ADPRHL1,-0.0004786900466758565
427,ADPRHL2,0.0003191346119639088
428,ADPRM,-0.0015568174033154037
429,ADRA1A,0.0011848390428787054
430,ADRA1B,0.0025626691844178842
431,ADRA1D,-0.003426016112622408
432,ADRA2A,0.00045060561870536344
433,ADRA2B,0.0017029888924388497
434,ADRA2C,-0.0014040706120855473
435,ADRB1,0.00036405066350118963
436,ADRB2,0.0010054624453293222
437,ADRB3,-0.0010433857185302296
438,ADRM1,0.0016757663259353648
439,ADSL,-6.049721108328062e-05
440,ADSS,-0.0003574263687638483
441,ADSSL1,-0.0015239793168551339
442,ADTRP,-0.004035441382365681
443,AEBP1,-0.005961312305833812
444,AEBP2,-0.0005083644039149766
445,AEN,0.002227939708109585
446,AES,-0.00028958327758277084
447,AFAP1,0.0002532355788614358
448,AFAP1-AS1,-0.00850338943833674
449,AFAP1L1,-0.0012359457471315155
450,AFAP1L2,0.0013317239021461032
451,AFDN,0.0008289035364280896
452,AFDN-DT,-0.0021314433646034067
453,AFF1,-0.0020136865336077077
454,AFF1-AS1,0.0010213595564796288
455,AFF2,0.00047905541272832855
456,AFF3,0.0011251255554997662
457,AFF4,-0.0004127225701710352
458,AFG1L,-0.0005931535988325437
459,AFG3L1P,0.00368855345900785
460,AFG3L2,-0.0009595347258622475
461,AFM,-0.002420199476269688
462,AFMID,-9.077097977137135e-05
463,AFP,-0.005928528352647837
464,AFTPH,-0.0002668356020036688
465,AGA,0.0005538594175723314
466,AGAP1,-0.0023108168046251775
467,AGAP1-IT1,-0.0011335086686776793
468,AGAP11,-0.00015934875755320806
469,AGAP12P,-0.0021809748359401717
470,AGAP2,-0.0008942384296324031
471,AGAP2-AS1,-0.00034446561856267506
472,AGAP3,-0.0013640156689907585
473,AGAP4,-0.0021006770145055244
474,AGAP5,-0.0008301563602288579
475,AGAP6,0.0016936645118757513
476,AGAP7P,0.001960612847950014
477,AGAP9,0.002399144007042973
478,AGBL1,0.003297622920928553
479,AGBL1-AS1,-0.005095870614733232
480,AGBL2,0.0016463195588355807
481,AGBL3,-0.0013718141058199152
482,AGBL4,0.00021805146956721885
483,AGBL4-IT1,-0.00015711931713644484
484,AGBL5,0.0015665488871661813
485,AGBL5-AS1,0.0007469428784687252
486,AGER,0.004513233184610307
487,AGFG1,0.0002984511670723036
488,AGFG2,-0.0038683366781443337
489,AGGF1,-6.13649140530137e-05
490,AGK,-2.3985940593454166e-05
491,AGL,0.00048823786405754343
492,AGMAT,-0.005237202899395354
